Function,Description,Simplified Description,Technologies,Purpose
IDS/IPS,"Intrusion detection is the process of monitoring the events occurring in your network and analyzing them for signs of possible incidents, violations, or imminent threats to your security policies. Intrusion prevention is the process of performing intrusion detection and then stopping the detected incidents.","IDS/IPS monitors the network for any malicious/anomalous traffic (exploits/attack attempts) and any policy violations. IDS/IPS looks at both internal and external network attacks. Internal attacks may include lateral pivoting, exploitation, scanning. External attacks may include DoS attacks and external vuln scanning or exploitation attempts which means people outside the network trying to figure out if there are any vulnerabilities to exploit. IDS (Intrusion Detection System) just alerts you on anything malicious (I see bad and I'm telling you). While an IPS (Intrusion Prevention System) will alert you and block/drop (I saw bad and I blocked it) any malicious traffic.",Amazon Guard Duty Arbor Networks Peakflow Arbor Networks Pravail Check Point SandBlast Check Point SmartDefense Cisco FireAMP Cisco FirePower Cisco Snort Cisco Stealthwatch Core Security Network Insight Damballa FailSafe Darktrace Darktrace Dell SecureWorks iSensor IPS ExtraHop Reveal(X) FireEye NX Forcepoint IDS/IPS Fortinet FortiGate Guardicore Centra IBM Network Security Protection XGS Juniper Cyphort Juniper SRX McAfee NSM NitroSecurity NitroGuard IPS Palo Alto IDS/IPS Palo Alto Wildfire Plixer Scrutinizer Snort/Suricata IDS/IPS SonicWALL IDS/IPS Symantec Gateway Security Trend Micro Tipping Point UnityOne Vectra Cognito WatchGuard Fireware Zscaler Internet Access,Unauthorized access from internal or external hosts including exploitation/scanning/pivoting attempts. IDS/IPS's have a set of known malicious signatures or behaviors that are compared to detect/block bad traffic.
IT Management,"IT Management software provides comprehensive bandwidth performance management and fault management application that allows you to view the real-time statistics of your network directly. Some metrics that these can provide are monitoring of CPU Load, Memory utilization, and available Disk Space.",IT management software can provide various metrics around the operating status of devices in an environment. It can also provide a means to push changes to other devices in an environment.,Arpeggio SIFT-IT Aruba Airwave Axonious Axonious Check Point Security Management CrowdStrike Falcon Device Control CrowdStrike Falcon Discover CrowdStrike Firewall Management ESET Remote Administrator FireEye CMS Firemon Security Manager Fortinet FortiManager Infoblox IPAM OpsRamp OpsRamp Pager Duty Pager Duty Palo Alto Panorama SentinelOne Firewall Management SolarWinds Orion Sophos Enterprise Console Tanium Asset Tanium Deploy Tanium Discover Tanium Map Tanium Patch Trend Micro Control Manager VMWare Carbon Black Cloud Audit and Remediation Zingbox IoT Guardian,
MDM,"Mobile device management (MDM) is software that allows IT administrators to control, secure and enforce policies on smartphones, tablets and other endpoints. MDM is a core component of enterprise mobility management (EMM) which also includes mobile application management, identity and access management and enterprise file sync and share. The intent of MDM is to optimize the functionality and security of mobile devices within the enterprise while simultaneously protecting the corporate network.","Mobile device monitoring. Gives companies the ability to monitor/enforce specific policies to ensure the company data on the device is secure. Example: Enforcing specific password requirements, screen lockout times, or application containers to prevent personal apps from reading data in company apps.",Citrix Zenprise Ivanti Enterprise Mobility Management Microsoft Intune MobileIron MDM VMware Airwatch,"Alerts generated by the MDM for abuses. Currently no standard rules, but we can explore AdHoc based off the events logging."
Multi Factor Authentication,Multi-factor authentication (MFA) is a security system that requires more than one method of authentication from independent categories of credentials to verify the user’s identity for a login or other transaction.,"MFA is used to prevent anyone who knows a password from accessing an account without at least one other way to identify themselves. This includes possession of an associated mobile device, a token, or a fingerprint. Username and Password is weak sauce, needing a device/token or alternative form of proof adds security.",Cisco Duo Security Entrust IdentityGuard IBM Security Access Manager IBM Tivoli Access Manager Microsoft Azure OneLogin Identity RSA SEcurID SecureAuth MFA SecurEnvoy SecureIdentity Suite Symantec VIP,"Attacks on user accounts, web portals, or the use of stolen credentials. Examples being PIN guessing or unauthorized countries logging in."
NAC,"Network access control (NAC) is an approach to network management and security that enforces security policy, compliance and management of access control to a network. It is a network solution that enables only compliant, authenticated and trusted endpoint devices and nodes to access network resources and infrastructure.","If a device doesn't meet the requirements of the company's policy, or they want to remove a device from the network the NAC assists in that.  If someone plugs a non-company asset into the network, then the NAC can make sure the device cannot communicate and trigger an alert. If the IR team is investigating and needs to isolate a host, a NAC can do that as well. If a device has outdated AV, then the NAC can disable the host.",Aruba ClearPass Cisco ISE Forescout CounterAct,"Out of compliance assets, Rouge systems plugged in, Misc NAC alerts. Currently no standard rules, but we can explore AdHoc based off the events logging."
Network Infrastructure,"Network infrastructure is the hardware and software resources of an entire network that enable network connectivity, communication, operations and management of an enterprise network. This can include switches, routers, access points or security management devices.","Devices that connect network devices together. Read about specific devices WAP, Router, Switch, etc.",Aruba Mobility Controller Aruba Wireless AP Check Point Security Management Cisco Aironet Cisco eStreamer Cisco FireSight Cisco Meraki Cisco Nexus Cisco NX-OS/IOS Cisco Wireless LAN Controllers Cisco Wireless Service Module Extreme Networks Switch Forcepoint V Series Foundry Networks FastIron Foundry Networks ServerIron HPE Airwave HPE SiteScope Juniper JUNOS Juniper Wireless LAN Controller N/A Netflow N/A Syslog Silicom IBS,Default network device logins or brute force logins. Not many rules. Not a very common attack vector. Can explore AdHoc if needed.
Operating System,"This includes any operating system that a device may be using to run, most commonly including Windows and Linux/Unix variations. *nix is an all-encompassing term for any operating system that functions similarly to the original Unix system. The UNIX operating system was defined by its unique modular design, file system, and command shell. It has since spawned a variety of other Unix-like operating systems that share the same core aspects of the original system. Some examples of these systems include AIX, Linux, Solaris, and FreeBSD.  Windows Operating System records many events into four primary log types: Application, System, Setup and Security. With respect to security, the most valuable log type is the Security log.","An operating system (OS) is system software that manages computer hardware, software resources, and provides common services for computer programs. Most common operating systems in this category include Windows, Linux and macOS. Operating system logs include logins, user adds, group adds, user deletes, and process execution.",*nix *nix Apple macOS Microsoft Windows,"Logging Windows security events will allow us visibility into the following areas: User authentication, user/group additions, deletions and modifications, as well as user privileges and access."
Password Vault,A password vault is a program that stores usernames and passwords for multiple programs in a secure location and in an encrypted format. Users can access the password vault via a single username and password.,"A password vault's main purpose is to link the usage of a shared account, typically with administrator rights, to a single user. This allows the customer to know who was using the account when potentially malicious activity occurred and help to further identify the source. Very sensitive accounts with god like permissions should be protected. Using a password vault the account can be checked out and in.",BeyondTrust Powerbroker CyberArk Vault HashiCorp Vault KeePass Password Safe Microsoft Azure Key Vault Password Safe Password Safe Thycotic Secret Server,"This allows us visibility into accounts being misused and users without privileges accessing accounts or documents they should not. Currently no standard rules for this function, but can build ad-hoc based off customer needs."
Performance Monitoring,Performance monitoring software allows management and monitoring to applications and infrastructure in an environment.,Performance monitoring software allows management and monitoring to applications and infrastructure in an environment.,Amazon Cloudwatch OpsRamp OpsRamp Tanium Performance,
Physical Access,"Physical security involves the use of multiple layers of interdependent systems that can include CCTV surveillance, security guards, protective barriers, locks, access control, perimeter intrusion detection, deterrent systems, fire protection, and other systems designed to protect property. In this case, we are referencing physical security to areas with devices that may store critical data.","Physical security describes security measures that are designed to deny unauthorized access to facilities, equipment and resources and to protect personnel and property from damage or harm.",AMAG Symmetry Avigilon Access Control ExacqVision C-Cure Lenel OnGuard Lenel Picture Perfect,"Physical security systems for protected facilities are generally intended to deter potential intruders from entering specific areas, detect intrusions and monitor/record intruders, and trigger appropriate incident responses (e.g. contact authorities)."
Privileged Access Management,PAM(Privileged access management) refers to systems and processes for giving organizations better control and monitoring capability into who can gain privileged access to the computer or information system.,"PAM(Privileged access management) helps to provide fined-grained control, visibility, and auditability over privileged account credentials and access.",BeyondTrust Powerbroker CyberArk Vault SecurEnvoy SecureIdentity Suite Thycotic Secret Server,"A condensed attack surface that protects against both internal and external threats: Limiting privileges for people, processes, and applications means the pathways and entrances for exploit are also diminished.Reduced malware infection and propagation: Many varieties of malware need elevated privileges to install or execute. Removing excessive privileges, such as through least privilege enforcement across the enterprise, can prevent malware from gaining a foothold, or reduce its spread if it does."
Remote Access,"Remote access devices such as VPN secure the private network, using encryption and other security mechanisms to ensure that only authorized users can access the network and that the data cannot be intercepted. This type of network is designed to provides a secure, encrypted tunnel in which to transmit the data between the remote user and the company network.",Remote Access allows users to connect to and route their activity through a network that they are not physically connected to via the internet. This allows access to resources that may only be reachable from the target network. An example would include using the VPN to access the RQ network from your home so that you can log into Thycotic to get passwords.,AT&T ANIRA Check Point Connectra Check Point VPN-1 Cisco AnyConnect Cisco ASA Cisco GoAnywhere Citrix Netscaler F5 Networks APM F5 Networks Firepass Fortinet FortiGate Juniper JUNOS Nortel VPN OpenVPN OpenVPN Palo Alto Global Protect Pulse Secure Pulse Connect Secure SecureLink Remote Access Platform SonicWALL VPN VMWare Horizon Zscaler Private Access,"Without logging Remote Access, there is a loss of visibility into remote user authentications, and particularly those who may be logging in from suspicious geographic locations."
Reverse Proxy,A reverse proxy server is a type of proxy server that typically sits behind the firewall in a private network and directs client requests to the appropriate backend server. A reverse proxy provides an additional level of abstraction and control to ensure the smooth flow of network traffic between clients and servers. A reverse proxy is commonly used for load balancing and security/anonymity by intercepting requests headed for your backend servers.,"Read the Forward Proxy Def above. Reverse proxy handles External -> Internal opposed to Internal -> External. A middle man between Internet clients and the companies Internet facing web servers. All companies have Forward Proxies, Not all would have a need for a reverse. Reverse Proxies are rare.Good Visuals/info on https://www.cloudflare.com/learning/cdn/glossary/reverse-proxy/Forward proxy limits/restricts outbound traffic the company's own users, while a reverse proxy is meant to limit/restrict traffic coming in from external clients",Ambassador API Gateway CA SecureSpan F5 Networks LTM IBM DataPower RadWare Alteon Squid Proxy,"Web requests inbound from threat hosts, abnormal sizes, Directory Traversals, High Volume Login Failure Page Redirects, sensitive page (Admin Portals) access. Possible security events created by the Reverse Proxy."
SIEM,"SIEM software collects and aggregates log data generated throughout the organization's technology infrastructure, from host systems and applications to network and security devices such as firewalls and antivirus filters.","A SIEM aggregates all log data that is generated by a single company's technology for easy searching and event rule creation. SIEM audit logs give visibility into which users access the SIEM as well as the actions they are preforming. RQ's services (IR, engineering and content) are formed around the management of a customer's SIEM platform.",AT&T AlienVault USM Exabeam Data Lake Humio Humio IBM Qradar LogRhythm LogRhythm McAfee ESM Micro Focus ArcSight Microsoft Azure Sentinel RSA SecurityAnalytics Software House C Cure Splunk Splunk,SIEM technology gives visibility into many areas of threat detection across the kill chain and MITRE framework. RQ's content is written based off of the technology owned by the customer and feeding into their SIEM.
SOAR,"SOAR (Security Orchestration, Automation and Response) is a solution stack of compatible software programs that allow an organization to collect data about security threats from multiple sources and respond to low-level security events without human assistance. The goal of using a SOAR stack is to improve the efficiency of physical and digital security operations.","SOAR(Security Orchestration, Automation and Response) allows companies to collect threat-related data from a range of sources and automate responses to low-level threats.",Exabeam Incident Responder IBM Resilient LogRhythm Case Management Microsoft Azure Sentinel Palo Alto XSOAR Splunk Phantom Swimlane Swimlane,"SOAR integrates all of the tools, systems and applications within an organization’s security toolset and then enables a team to automate incident response workflows."
SSO,"With SSO, a user logs in once and gains access to different applications, without the need to re-enter log-in credentials at each application. SSO authentication facilitates seamless network resource usage. SSO mechanisms vary, depending on application type.",Single sign-on (SSO) is an authentication process that allows a user to access multiple applications with one set of login credentials.,CA SiteMinder Cisco ACS Microsoft Active Directory Microsoft Azure NetIQ eDirectory Okta Identity OneLogin Identity Ping Identity PingFederate SecureAuth Identify Platform Shibboleth Consortium SSO,"SSO main purposes are to mitigate risk for access to 3rd-party sites, reduce password fatigue from different username and password combinations and reduce time spent re-entering passwords for the same identity."
Threat Intelligence,"A threat intelligence feed is an ongoing stream of data related to potential or current threats to an organization's security. This includes evidence-based knowledge, including context, mechanisms, indicators, implications and actionable advice, about an existing or emerging threats.","Threat Intelligence is often comprised of many sources feeding into a single list, like rqAWARE, which is then used to compare against events within the environment to find malicious activity.  Threat intel companies research bad guys and find out IOCs (Indicators of Compromise) like Hashes, IPs, Domains, or URLs.",AlienVault OTX Anomali Optic CrowdStrike Search Palo Alto AutoFocus Palo Alto MineMeld Threat Intelligence Platform Threat Intelligence Platform Hosted Webservice VirusTotal VirusTotal,"Threat intelligence does not provide additional visibility, but it does provide additional correlation that allows for additional rules as well as high fidelity rules."
UBA,"User behavior analytics (UBA) is the tracking, collecting and assessing of user data and activities using monitoring systems. UBA technologies analyze historical data logs including network and authentication logs to identify patterns of traffic caused by user behaviors, both normal and malicious.","User do stuff on a fairly predictable cadence, so if a user normally logs in at 9am and leaves at 5pm, but we see 100 failures and a success at 1 am, that's weird.  Basically this is user monitoring for anomalies.  Kinda of like an IDS, but tracking overall user behavior to trigger alerts based of trending and rules/policies built.",Exabeam Advanced Analytics FireEye Datalert HPE Niara IBM Qradar Micro Focus ArcSight Microsoft ATA ObserveIT ObserveIT Splunk Splunk StealthBits StealthINTERCEPT Varonis DatAlert,"Changes in user behavior that trigger UBA alerts. There are specific ""alerts"" built into the UBA platform we could alert on. Examples: Excessive firewall denies, Excessive logins failures, non standard time, non standard network access, sensitive network access, etc."
Virtualization,"Network virtualization is using network resources through a logical segmentation of a single physical network. Network virtualization is achieved by installing software and services to manage the sharing of storage, computing cycles and applications.","Virtualization creates a simulated or virtual, computing environment as opposed to a physical environment.  The benefits are lower costs by not having physical equipment, and flexibility of access.  Worldwide operations can utilize the same tools from anywhere, while simplifying compliance into an easy to manage interface.",Amazon CloudTrail Citrix XenApp Google Cloud Platform Google GCP Compute Kubernetes Kubernetes Microsoft Azure Microsoft HyperV Pivotal Cloud Foundry VMware ESXi VMWare vCenter,"Account / Group misuse and monitoring, Policy violations, Permission missconfigs."
Vulnerability Scanner,"Vulnerability scanning is an inspection of the potential points of exploit on a computer or network to identify security holes. A vulnerability scan detects and classifies system weaknesses in computers, networks and communications equipment and predicts the effectiveness of countermeasures. We specifically look for information that provide results for vulnerability scans, including vulnerable hosts and the associated vulnerabilities.","A vulnerability scanner is an application that identifies and creates an inventory of all the systems (including servers, desktops, laptops, virtual machines, containers, firewalls, switches, and printers) connected to a network then scans them for known vulnerabilities. The vulnerabilities found are given a severity and description that server admins can use to implement needed patches.",Amazon Inspector CoalFire CoalFireOne CrowdStrike Falcon Spotlight Denim Group Threadfix Google Cloud Platform Security Command Center Greenbone OpenVAS Qualys Vulnerability Scanner Rapid7 Nexpose Tanium Comply Tenable Nessus,"For each device that it identifies it also attempts to identify the operating system it runs and the software installed on it, along with known vulnerabilities.  If logging, rules could be updated to correlate on the scanning data."
WAF,"A web application firewall (WAF) protects web application servers and infrastructure from attacks and breaches originating from the Internet and external networks. Some threats that a WAF provides protection against are SQL injection, XML injection and DDoS attacks.","Provides protection and visibility into a wide range of attack vectors that can exist on a web application (App that runs on a web server i.e. banking app, web mail, retail, information/marketing). This is a IDS/IPS (See IDS/IPS def above) specific for Web Applications. There are special attacks targeted at only web servers, and this tool detects those (See types of threat visibility for attacks).",Akamai Kona Site Defender Amazon WAF Barracuda WAF CloudFlare WAF F5 Networks ASM Imperva Incapsula Imperva SecureSphere Signal Science Shape Trustwave WAF,"Web attacks (SQL Injection, Directory Traversal, Brute force, command injection), IDS Web Shell attacks, Allowed Exploits from Threat IP.https://www.pentasecurity.com/blog/top-7-common-types-cyberattacks-web-applications/"
Web Server,"A web server is a system that delivers content or services to end users over the internet. A web server consists of a physical server, server operating system (OS) and software used to facilitate HTTP communication.",Web servers are responsible for hosting the web-accessible content a customer may provide either internally or externally.,Akamai CDN Amazon CloudFront Apache Tomcat CloudFlare CDN Imperva Incapsula Microsoft IIS Nginx Web Server RedHat JBoss Signal Science Shape,"Misuse of web servers. Example detections Web Directory Traversal Attempt, Web Directory Brute Force, Web admin portal scanning, High Volume Login Failure Page Redirects"
WIDS/WIPS,A wireless intrusion prevention system (WIPS) is a dedicated security device or integrated software application that monitors a wireless LAN network's for rogue access points and other wireless threats.,"In computing, a wireless intrusion prevention system (WIPS) is a network device that monitors the radio spectrum for the presence of unauthorized access points (intrusion detection), and can automatically take countermeasures (intrusion prevention). Basically an IDS/IPS for Wireless.  If the device has protection capabilities it can block and alert. It can detect evil twin networks (Wireless Access Points with the same name to trick devices). The Access Point would handle authentication, WIDS/WIPS handles misuse.",Cisco Meraki Extreme Networks AirDefense,"If an employee (trusted entity) in a location brings in an easily available wireless router (Rouge access point), the entire network can be exposed to anyone within range of the signals.  WIDS/WIPS detects this. It can also detect attempts to gain unauthorized access to the wireless or evil twin access points."
Wireless Infrastructure,"Wireless infrastructure includes wireless access points and wireless controllers.  A wireless controller manages wireless network access points that allow wireless devices to connect to the network. A wireless access point (WAP) is a hardware device or configured node on a local area network (LAN) that allows wireless capable devices and wired networks to connect through a wireless standard, including Wi-Fi or Bluetooth.",Devices can gain access to the network through Wireless APs at the company headquarters. This has no visibility into home or external wireless. A wireless controller manages wireless network access points that allow wireless devices to connect to the network.,,Logging this device would provide visibility into additional types of authentication or specific wireless attacks.
